Payer ID,Payer Name,Institutional Claims,Professional Claims,Dental Claims,ERA,Eligibility,Attachments,Workers Comp,Secondary Support,Payer Type,Payer State
SX065,CDPHP,yes,yes,no,enrollment,yes,no,no,yes,commercial,
95167,Cedars-Sinai Medical Group (CSHS) - Capitated/Encounters,yes,yes,no,no,no,no,no,no,commercial,CA
95166,Cedars-Sinai Medical Group (CSHS) - Fee for Service,yes,yes,no,enrollment,no,no,no,yes,commercial,CA
68063,Celtic Insurance,yes,yes,no,no,no,no,no,yes,commercial,
68060,CeltiCare,yes,yes,no,enrollment,yes,no,no,yes,commercial,
95386,Cencal Health,no,yes,no,no,yes,no,no,yes,commercial,
J1034,Cendant Corporation,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
68048,Cenpatico Arizona,yes,yes,no,enrollment,yes,no,no,yes,commercial,
68068,Cenpatico Behavioral Health,yes,yes,no,enrollment,yes,no,no,yes,commercial,
68058,Cenpatico FL,yes,yes,no,enrollment,yes,no,no,yes,commercial,
68050,Cenpatico Georgia,yes,yes,no,enrollment,yes,no,no,yes,commercial,GA
68052,Cenpatico Indiana,yes,yes,no,enrollment,yes,no,no,yes,commercial,
68047,Cenpatico Kansas,yes,yes,no,enrollment,yes,no,no,yes,commercial,KS
68061,Cenpatico Massachuetts,yes,yes,no,enrollment,yes,no,no,yes,commercial,MA
68051,Cenpatico OHIO,yes,yes,no,enrollment,yes,no,no,yes,commercial,OH
68059,Cenpatico South Carolina,yes,yes,no,enrollment,yes,no,no,yes,commercial,SC
68046,Cenpatico Wisconsin,yes,yes,no,enrollment,yes,no,no,yes,commercial,WI
68069,Centene,yes,yes,no,enrollment,yes,no,no,yes,commercial,
68056,CENTENE ADVANTAGE PLANS,yes,yes,no,enrollment,yes,no,no,yes,commercial,
94312,Center for Elders Independence,yes,yes,no,no,no,no,no,yes,commercial,
POP01,Center IPA,no,yes,no,no,no,no,no,,commercial,
13360,CenterLight Healthcare,yes,yes,no,enrollment,no,no,no,yes,commercial,
CPHL0,Centers Plan for Healthy Living,yes,yes,no,enrollment,no,no,no,yes,commercial,
MPM03,Centinela Valley IPA,yes,yes,no,enrollment,no,no,no,,,CA
45564,Centivo,yes,yes,no,enrollment,no,no,no,yes,,
SX169,Central California Alliance for Health CA,enrollment,enrollment,no,enrollment,no,no,no,no,medicaid,CA
J1605,Central Contra Costa Transit Authority,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
ERA18,Central Data Services,no,no,no,enrollment,no,no,no,,commercial,
CHCPI,Central Health MSO,yes,yes,no,enrollment,no,no,no,yes,commercial,
J1035,Central Hockey League,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
34097,Central Reserve Life,yes,yes,no,enrollment,no,no,no,no,commercial,
62218,Central SeniorCare,no,no,no,no,yes,no,no,no,commercial,
36215,Central States Health & Welfare Funds,yes,yes,no,enrollment,yes,no,no,yes,commercial,
J2293,Central Texas Iron Works,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
CVH01,Central Valley Medical Group,yes,yes,no,no,no,no,no,,commercial,
MPM59,Central Valley Medical Providers CVMEDPRO,yes,yes,no,no,no,no,no,yes,commercial,
42140,Centurion,yes,yes,no,enrollment,no,no,no,no,commercial,
IHS11,CENTURION LLC,yes,yes,no,no,no,no,no,,commercial,
36393,Century PHO INC,yes,yes,no,no,no,no,no,yes,commercial,
11854,Ceour,no,yes,no,no,no,no,no,,commercial,
J1646,Chaffey Joint Union H. S. District (CA),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
49533,Chaffey Medical Group,yes,yes,no,enrollment,no,no,no,,commercial,
CPS01,Champion Payer Solutions,yes,yes,no,enrollment,no,no,no,,commercial,
84146,CHAMPVA HAC,yes,yes,no,enrollment,yes,no,no,yes,commercial,
J1036,"Charming Shoppes, Inc.",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
16600,"Chautauqua County Healthcare Plan (Mayville, NY)",yes,yes,no,no,no,no,no,no,commercial,
75895,CHCS Services Inc,no,no,no,enrollment,no,no,no,no,commercial,
J1970,Cherokee Insurance - TN & VA,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1908,Chesapeake Insurance,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
34154,Chesterfield Resources Inc,yes,yes,no,enrollment,no,no,no,no,commercial,
J1479,"Chesterfield Services, Inc. - (Except NY)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
ERA52,Chicago Laborers' Pension and Welfare Funds,no,no,no,enrollment,no,no,no,,,
J2315,Chico's Fas Inc.,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
94321,Children First Medical Group,no,yes,no,no,no,no,no,yes,commercial,
CSSD2,Childrens Specialist of San Diego,yes,yes,no,enrollment,no,no,no,no,commercial,CA
94302,Chinese Community Health Plan,yes,yes,no,enrollment,no,no,no,no,commercial,
33070,ChiroMetrics Inc,no,yes,no,no,no,no,no,yes,medicare,
CMG01,Choice Medical Group,no,yes,no,enrollment,no,no,no,yes,commercial,CA
38308,Christian Brothers Services,yes,yes,no,enrollment,yes,no,no,no,commercial,
61271,Christian Brothers Services  - Vision Claims Only,no,no,no,enrollment,no,no,no,yes,commercial,
59355,Christian Care Ministries,yes,yes,no,no,no,no,no,yes,commercial,
98628,Christian Health Aid,yes,yes,no,no,no,no,no,yes,commercial,
10629,Christus Health Medicare Advantage,yes,yes,no,enrollment,yes,no,no,no,commercial,
52106,CHRISTUS Health Plan TX HIX,yes,yes,no,enrollment,yes,no,no,yes,commercial,
J1554,Chubb & Son (Work Comp Only),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
C1052,Chubb and Son,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1561,Chubb Services,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1266,Church Mutual Insurance Company,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1265,Church Mutual Insurance Company W/C Claims Only,yes,yes,no,no,no,yes,yes,no,workerscomp,
J1532,CIGA,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
62308,CIGNA,yes,yes,no,enrollment,yes,no,no,yes,commercial,
SX071,CIGNA Behavioral Health,yes,yes,no,enrollment,yes,no,no,yes,commercial,
86033,CIGNA Medicare Advantage PFFS,yes,yes,no,no,yes,no,no,yes,commercial,
13193,Cigna Medicare Supplemental Insurance,yes,yes,no,enrollment,yes,no,no,yes,commercial,
J1562,Cincinnati Insurance,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1582,Citizens Insurance Company of America,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
NMM01,Citrus Valley IPA,yes,yes,no,enrollment,no,no,no,yes,commercial,
J1945,"Citrus World, Inc.",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1885,City and County of San Francisco (CCSF) - CA Only,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
A0033,City Of Arlington ,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1792,City of Banning (CA),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2359,City Of Birmingham (Al),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1794,City of Blythe (CA),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1880,City of Brea,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1928,City of Charlotte,no,no,no,enrollment,no,yes,yes,no,workerscomp,
J2306,City Of Chino,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2202,City Of Compton,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2343,City of Costa Mesa,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1441,City of Dallas,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
A0046,City Of El Paso,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2272,City Of Fort Collins (Co),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2266,City Of Fort Lauderdale,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1680,City of Fort Worth (TX),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1632,City of Fountain Valley (CA),no,no,no,enrollment,no,yes,yes,no,workerscomp,
J2337,City of Fresno FPOA ADR1,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1634,City of Gardena (CA),no,no,no,enrollment,no,yes,yes,no,workerscomp,
J1800,City of Glendale (AZ),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2248,City Of Hayward,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2340,City of Huntsville,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1504,City of Jacksonville,no,no,no,enrollment,no,yes,yes,no,workerscomp,
J1711,City of La Mesa 11 (CA),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1653,City of Laguna Hills (CA),no,no,no,enrollment,no,yes,yes,no,workerscomp,
J1981,City Of Lake Charles (La),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2347,City of Lakeland,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1536,City of Los Angeles,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1946,City of Miami Beach (FL),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1269,City of Minneapolis,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2217,City Of Napa,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2309,City Of New Orleans (La),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1721,City of Omaha (NE),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1881,City of Orange,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1795,City of Perris (CA),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1947,City of Pompano Beach (FL),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1617,City of Redding (CA),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1901,"City of Rialto, CA",no,no,no,enrollment,no,yes,yes,no,workerscomp,
J1849,City of Salinas,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1497,City of San Diego,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1796,City of San Jacinto (CA),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1727,City of San Mateo (CA),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2155,City Of Santa Ana,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1602,City of St Paul MN,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1636,City of Stanton (CA),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1664,City of Stockton (CA),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1607,City of Topeka (KS),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1982,City Of Tucson,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1645,City of Upland (CA),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1948,City of West Palm Beach (FL),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
38219,ClaimChoice Administrators,no,no,no,enrollment,no,no,no,yes,commercial,
J1271,"Claims Administrative Services (CAS) - NM, OK",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
43056,Claims Development Corporation,no,yes,no,no,no,no,no,no,commercial,
68423,ClaimsBridge MidAtlantic,yes,yes,no,no,no,no,no,yes,commercial,
89461,ClaimsBridge North,yes,yes,no,no,no,no,no,yes,commercial,
55731,ClaimsBridge South,yes,yes,no,no,no,no,no,yes,commercial,
11752,Claimsbridge West,yes,yes,no,no,no,no,no,yes,commercial,
J1037,Classic Residence By Hyatt,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
CLEAR,Clear Health Alliance,yes,yes,no,enrollment,yes,yes,no,yes,commercial,
85468,Clear Spring Health,yes,yes,no,enrollment,yes,no,no,,,
77201,Clearchoice Health Plan COIHS,no,yes,no,no,no,no,no,yes,commercial,
CC168,Clever Care Health Plan,yes,yes,no,no,no,no,no,,commercial,
CC16E,Clever Care Health Plan Encounters,yes,yes,no,no,no,no,no,,commercial,
CDCR1,Clinicas del Camino Real,yes,yes,no,enrollment,no,no,no,,commercial,
13285,Clover Health,yes,yes,no,no,yes,no,no,no,commercial,
TXCBS,CMBHS - HCBS,yes,yes,no,no,no,no,no,,medicaid,
2041,CMHC,yes,yes,no,no,no,no,no,yes,commercial,
20443,CNA Insurance,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
C1035,CNA Insurance ,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
CNSOR,CNS Healthcare,enrollment,enrollment,no,no,no,no,no,no,commercial,
50,CO BCBS,yes,yes,no,enrollment,yes,yes,no,yes,bcbs,CO
23708,CO Employees Hospital Association,yes,yes,no,enrollment,no,no,no,yes,commercial,CO
91617,CO Kaiser Foundation Health Plan,yes,yes,no,enrollment,yes,no,no,yes,commercial,CO
SKCO0,CO Medicaid,yes,yes,no,enrollment,yes,no,no,yes,medicaid,CO
4111,CO Medicare Part A,enrollment,no,no,enrollment,yes,yes,no,yes,medicare,CO
4102,CO Medicare Part B,no,enrollment,no,enrollment,yes,yes,no,yes,medicare,CO
J1272,Coach USA,no,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1902,Coachella Valley Water District (CA),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
CAS89,Coastal Administrative Services,yes,yes,no,no,no,no,no,,commercial,
47394,Coastal Care Services Inc.,yes,yes,no,enrollment,no,no,no,,commercial,
CCPN1,Coastal Communities Physician Network (CCPN) (Regal),yes,yes,no,no,no,no,no,,commercial,
77052,Coastal TPA,yes,yes,no,enrollment,no,no,no,yes,commercial,
J1038,Coca-Cola Enterprises Inc.,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
38335,Cofinity,yes,yes,no,no,no,no,no,yes,commercial,
42049,Cofinity - Group Resources,yes,yes,no,no,no,no,no,no,,
J2259,Coit,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
ERA47,Collaborative Health,no,no,no,enrollment,no,no,no,,commercial,
ERA20,Collective Health,no,no,no,enrollment,no,no,no,,,
22284,Colonial Medical,yes,yes,no,enrollment,no,no,no,yes,commercial,
ERA03,Colonial Penn Life Ins. Co.,no,no,no,enrollment,no,no,no,,,
84129,Colorado Access,yes,yes,no,enrollment,yes,no,no,yes,commercial,CO
COBHI,Colorado Behavioral Healthcare Inc,no,yes,no,no,no,no,no,,,CO
J1428,Colorado Casualty,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,CO
COCHA,Colorado Community Health Alliance,yes,yes,no,enrollment,yes,yes,no,yes,commercial,CO
49718,Colorado Health OP,yes,yes,no,enrollment,no,no,no,no,commercial,
J2091,Columbia Mutual Insurance Company,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1039,Columbia Sussex Corporation,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
CHP02,Columbine Health Plan,no,yes,no,no,no,no,no,,commercial,
88091,Commercial Travelers/PHX,enrollment,enrollment,no,enrollment,no,no,no,yes,commercial,
77170,Common Ground Healthcare Cooperative,yes,yes,no,enrollment,no,no,no,yes,commercial,
A2793,Commonwealth Care Alliance ,yes,yes,no,enrollment,yes,no,no,yes,commercial,
14315,Commonwealth Care Alliance - DOS Prior to 4/1/2023,yes,yes,no,enrollment,no,no,no,no,commercial,
14316,Commonwealth Care Alliance - Medicare Advantage - DOS prior to 4/1/2023,yes,yes,no,enrollment,no,no,no,,commercial,
34525,CommuniCare Advantage,yes,yes,no,enrollment,no,no,no,,commercial,
17902,Community Care Associates,no,yes,no,no,no,no,no,,commercial,
23282,Community Care BHO,yes,yes,no,enrollment,no,no,no,yes,commercial,
MPM48,Community Care IPA LLC,enrollment,enrollment,no,enrollment,no,no,no,no,commercial,
73143,Community Care Managed Health Care Plans of Oklahoma,yes,yes,no,enrollment,yes,no,no,yes,commercial,
39126,Community Care Organization,yes,yes,no,enrollment,no,no,no,yes,commercial,
BHPP1,COMMUNITY CARE PLAN (BROWARD HEALTH PPUC),no,yes,no,enrollment,no,no,no,,,
59064,COMMUNITY CARE PLAN (COMMERCIAL),yes,yes,no,enrollment,no,no,no,yes,commercial,
FHKC1,COMMUNITY CARE PLAN (FLORIDA HEALTHY KIDS),yes,yes,no,enrollment,no,no,no,yes,,FL
59065,COMMUNITY CARE PLAN (MEDICAID),yes,yes,no,enrollment,no,no,no,yes,commercial,
PBHD1,COMMUNITY CARE PLAN (PALM BEACH HEALTH DISTRICT),yes,yes,no,enrollment,no,no,no,,,
J1655,Community Development Commission (CA),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
NMM05,Community Family Care,yes,yes,no,enrollment,no,no,no,yes,commercial,
42723,Community First Health Plan,yes,yes,no,enrollment,no,yes,no,yes,commercial,TX
35193,Community Health Alliance,yes,yes,no,enrollment,no,no,no,no,commercial,
27905,Community Health Alliance TN,yes,yes,no,enrollment,no,no,no,no,commercial,
CHCN1,Community Health Center Network,no,yes,no,enrollment,no,no,no,yes,,
48145,Community Health Choice,yes,yes,no,enrollment,no,no,no,yes,commercial,
60495,Community Health Choice Health Insurance Marketplace,yes,yes,no,enrollment,yes,no,no,yes,commercial,
66170,Community Health Group of SD (CHGSD) - FFS Claims,yes,yes,no,enrollment,no,no,no,yes,commercial,CA
SB613,Community Health Plan Washington,yes,yes,no,enrollment,yes,no,no,yes,commercial,WA
66121,Community Medical Group of the West Valley Inc,no,yes,no,no,no,no,no,no,commercial,
J1925,Comp West,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1829,Companion Property and Casualty Insurance Company (dba Sussex Insurance Company),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1040,"Compass Group Usa, Inc.",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
45687,Compass Health Administrators,no,no,no,enrollment,no,no,no,,,
CX021,CompBenefits,no,no,no,enrollment,no,no,no,no,commercial,
ERA53,CompIQ Solutions,no,no,no,enrollment,no,no,no,,,
CHP01,Complementary Healthcare Plan (CHP),no,yes,no,enrollment,no,no,no,,commercial,
15243,CompManagment Health,yes,yes,no,no,no,no,no,yes,commercial,
37363,Compsych,enrollment,enrollment,no,enrollment,yes,no,no,yes,commercial,
J1844,Con-Way Inc.,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
19028,Concentrix Insurance Solutions,yes,yes,no,enrollment,no,no,no,yes,commercial,
CAS01,Concierge Administrative Services,yes,yes,no,no,no,yes,no,yes,commercial,OK
33632,Concordia Care Inc,yes,yes,no,no,no,no,no,yes,commercial,
J1774,Conifer,yes,yes,no,no,no,yes,yes,no,workerscomp,
95399,Conifer Health Solutions,yes,yes,no,no,no,no,no,yes,commercial,
15821,Conifer Health Solutions,no,no,no,enrollment,no,no,no,,,
6105,ConnectiCare Inc,yes,yes,no,enrollment,yes,no,no,yes,commercial,
78375,Connecticare Medicare,yes,yes,no,enrollment,yes,no,no,no,commercial,CT
37307,Connecticut Carpenters Health Fund,no,no,no,enrollment,no,no,no,no,commercial,
PSKW0,ConnectiveRx,yes,yes,no,enrollment,no,no,no,yes,commercial,
82694,ConnectiveRX,yes,yes,no,enrollment,no,no,no,,commercial,
37135,Consociate Group,yes,yes,no,enrollment,no,no,no,yes,commercial,
75284,Consolidated Associates Railroad,yes,yes,no,no,no,no,no,yes,commercial,
87843,Consolidated Health Plans,yes,yes,no,enrollment,no,no,no,no,commercial,
WCAS1,Constitution States (Travelers) ,no,yes,no,no,no,no,yes,yes,workerscomp,
J1041,Contech Construction Products,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1042,Continental Airlines,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
ERA02,Continental Benefits,no,no,no,enrollment,no,no,no,,,
71404,Continental General Insurance Co,yes,yes,no,enrollment,yes,no,no,no,commercial,
J1274,Continental Western,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1715,Contra Costa County Schools Insurance Group (CCCSIG),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
CCHSP,Contra Costa Health Plan,yes,yes,no,enrollment,no,no,no,yes,commercial, 
J1043,Convergys Corporation,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
CCHP1,Cook Childrens Health Plan,yes,yes,no,enrollment,no,no,no,yes,commercial,
CCHP9,COOK CHILDRENS HEALTH PLAN STAR,yes,yes,no,enrollment,yes,no,no,yes,medicaid,
35149,Cook Group Health Plan,yes,yes,no,no,no,no,no,yes,commercial,
14829,Coordinated Benefits Plan,yes,yes,no,enrollment,no,no,no,yes,commercial,
58204,Coordinated Medical Specialists,no,yes,no,no,no,no,no,no,commercial,
J2093,Copperpoint Mutual Insurance Company,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
58231,Core Administrative Services,yes,yes,no,enrollment,no,no,no,no,commercial,
35182,CoreSource AZ/MN/MD/PA/IL/NC/IN,yes,yes,no,enrollment,yes,no,no,yes,commercial,
35187,CoreSource Internal,yes,yes,no,enrollment,no,no,no,no,commercial,
75136,CoreSource Little Rock,yes,yes,no,enrollment,yes,no,no,no,commercial,
35183,CoreSource OH,yes,yes,no,enrollment,yes,no,no,yes,commercial,
J1517,Corinthian Colleges,no,no,no,enrollment,no,yes,yes,no,workerscomp,
CORIZ,Corizon Health Inc,yes,yes,no,no,no,no,no,no,commercial,
35202,Cornerstone Benefit Adminstrator,yes,yes,no,enrollment,no,no,no,yes,commercial,
RP111,"Cornerstone Hospice and Palliative Care, Inc.",yes,yes,no,no,no,no,no,,commercial,
CB268,Cornerstone Preferred Resources,yes,yes,no,enrollment,no,no,no,yes,commercial,
56116,Corporate Benefits Service Inc N,yes,yes,no,enrollment,no,no,no,yes,commercial,
LADOC,Correctcare (Louisiana Prisons and Parish Jails),yes,yes,no,enrollment,no,no,no,yes,commercial,LA
CCIH0,CORRECTCARE INTEGRATED HEALTH,yes,yes,no,enrollment,no,no,no,,commercial,
CCIHJ,CORRECTCARE INTEGRATED HEALTH (NON-LOUISIANA JAILS),yes,yes,no,no,no,no,no,,commercial,
PHPMC,Correctional Health Partners,yes,yes,no,enrollment,no,no,no,yes,commercial,
J1044,Correctional Management Service,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
43160,Correctional Medical Services,yes,yes,no,no,no,no,no,no,commercial,
J1045,Corrections Corp of America,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1942,Corrections Corporation of America (CCA),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J4110,Corvel,yes,yes,no,enrollment,no,yes,yes,yes,workerscomp,
J1683,"Cottingham & Butler Claim Services, Inc.",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2089,Cottingham and Butler (Equian),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1684,Country Casualty Insurance Company,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
ISA02,Country Financial (Medicare Supplement),no,no,no,enrollment,no,no,no,,medicare,
J1712,Country Insurance Modern Service Casualty Insurance Co,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1572,Country Insurance Mountain States Insurance,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1591,Country Insurance MSI Preferred Insurance Company,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1702,Country Mutual Insurance Company,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1705,Country Preferred Insurance Company,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1525,"County of Chesterfield, VA",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1603,County of Humboldt (CA),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1961,County of Imperial (ATHENS),yes,yes,no,no,no,yes,yes,no,workerscomp,
J1935,County of Kern,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1625,County of Los Angeles (1000),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1967,County of Los Angeles (3000),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1723,County of Los Angeles AIMS Santa Clarita,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1722,County of Los Angeles Tristar Santa Ana,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2229,County Of Monterey,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2290,County Of Sacramento,no,no,no,enrollment,no,yes,yes,no,workerscomp,
J2320,County Of San Bernadino,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1513,County of San Diego,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1631,County of Santa Barbara (CA),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2329,County of Santa Barbara-CSAC (CA),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1616,County of Shasta (CA),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1662,County of Sonoma (CA),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1666,County of Tulare (CA),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2204,County Of Ventura,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
CMSP1,County Services Medical Program,no,yes,no,no,no,no,no,no,commercial,
6541,CountyCare,yes,yes,no,enrollment,yes,no,no,yes,commercial,
58102,"Covenant Administrators, Inc. (Atlanta, GA)",yes,yes,no,enrollment,no,no,no,yes,commercial,
TH108,Covenant Management Systems,no,yes,no,no,no,no,no,no,commercial,
95964,COVID19 HRSA Uninsured Testing and Treatment Fund,yes,yes,no,no,no,no,no,no,commercial,
J1046,"Coworx Staffing, LLC",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
19,Cox Health Plan,enrollment,enrollment,no,enrollment,no,no,no,,commercial,
CB695,CPR SHARE PLANS,yes,yes,no,no,no,no,no,,commercial,
J1455,Creative Risk Solutions,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1965,Crescent Crown Distributing,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2170,"Crescent Facilities Operations, LLC",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
56213,Crescent Health Solutions,yes,yes,no,no,no,no,no,yes,commercial,
J2263,Crosby ISD,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
33213,Crossway HealthShare,yes,yes,no,no,no,no,no,,commercial,
20572,Crowe Paradis Service Corp,yes,yes,no,no,no,no,no,yes,commercial,
37266,CroyHall Mgmt Inc,yes,yes,no,no,no,no,no,no,commercial,
31348,Crum & Forster Indemnity Co,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
ISA03,CSI Life (Medicare Supplement),no,no,no,enrollment,no,no,no,,medicare,
ISA04,CSI of Omaha (Medicare Supplement),no,no,no,enrollment,no,no,no,,medicare,
ISA05,CSO/Central States Life & Health (Medicare Supplement),no,no,no,enrollment,no,no,no,,medicare,
60,CT BCBS,yes,yes,no,enrollment,yes,yes,no,yes,bcbs,CT
SKCT0,CT Medicaid,yes,yes,no,enrollment,yes,no,no,yes,medicaid,CT
13102,CT Medicare Part B,no,enrollment,no,enrollment,yes,yes,no,yes,medicare,CT
42141,CTI ADMINISTRATORS INC,yes,yes,no,no,no,no,no,yes,commercial,
59144,Culinary Las Vegas - Unite HERE Health,yes,yes,no,enrollment,yes,no,no,,commercial,
CC304,CURAECHOICE,yes,yes,no,enrollment,no,no,no,yes,commercial,
82056,Custom Design Benefits Inc,yes,yes,no,enrollment,no,no,no,yes,commercial,
J1494,Dallas Independent School District,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1051,Danaher Corporation,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1936,Darigold,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
CB987,Dart Member Care,yes,yes,no,enrollment,no,no,no,yes,commercial,
