"Payer ID","Payer Name","Institutional Claims","Professional Claims","Dental Claims",ERA,Eligibility,Attachments,"Workers Comp","Secondary Support","Payer Type","Payer State","Eligibility Category"
14829,"Coordinated Benefits Plan",yes,yes,no,enrollment,no,no,no,yes,commercial,,
58204,"Coordinated Medical Specialists",no,yes,no,no,no,no,no,no,commercial,,
"J4483			","Copart, Inc",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J4123,"Copperpoint Insurance (Copperpoint EMPLOYEE claims ONLY) - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J2093,"Copperpoint Mutual Insurance Company",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
58231,"Core Administrative Services",yes,yes,no,enrollment,no,no,no,no,commercial,,
J4388,"Core Specialty - DOI after 11/1/2020",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J4389,"Core Specialty - DOI prior to 11/1/2020",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J3342,Corecivic,yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
55962,CoreCivic,yes,yes,no,no,no,no,no,no,commercial,,
35182,"CoreSource AZ/MN/MD/PA/IL/NC/IN",yes,yes,no,enrollment,yes,no,no,yes,commercial,,Prime
35187,"CoreSource Internal",yes,yes,no,enrollment,no,no,no,yes,commercial,,
75136,"CoreSource Little Rock",yes,yes,no,enrollment,no,no,no,yes,commercial,,
35183,"CoreSource OH",yes,yes,no,enrollment,no,no,no,yes,commercial,,
J1517,"Corinthian Colleges",no,no,no,enrollment,no,yes,yes,no,workerscomp,,
35202,"Cornerstone Benefit Adminstrator",yes,yes,no,enrollment,no,no,no,yes,commercial,,
RP111,"Cornerstone Hospice and Palliative Care, Inc.",yes,yes,no,no,no,no,no,,commercial,,
CB268,"Cornerstone Preferred Resources",yes,yes,no,enrollment,no,no,no,yes,commercial,,
56116,"Corporate Benefits Service Inc N",yes,yes,no,enrollment,no,no,no,yes,commercial,,
64270,"Corporate Plan Management",yes,yes,no,no,no,no,no,yes,,,
LADOC,"Correctcare (Louisiana Prisons and Parish Jails)",yes,yes,no,enrollment,no,no,no,yes,commercial,LA,
CCIH0,"CORRECTCARE INTEGRATED HEALTH",yes,yes,no,enrollment,no,no,no,,commercial,,
CCIHJ,"CORRECTCARE INTEGRATED HEALTH (NON-LOUISIANA JAILS)",yes,yes,no,no,no,no,no,,commercial,,
PHPMC,"Correctional Health Partners",yes,yes,no,enrollment,no,no,no,yes,commercial,,
J1044,"Correctional Management Service",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1045,"Corrections Corp of America",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1942,"Corrections Corporation of America (CCA)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J3942,"Corrigan-Camden ISD",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J4110,Corvel,yes,yes,no,enrollment,no,yes,yes,yes,workerscomp,,
J4124,"Cost Plus, Inc. - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1683,"Cottingham & Butler Claim Services, Inc.",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J2089,"Cottingham and Butler (Equian)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1684,"Country Casualty Insurance Company",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
ISA02,"Country Financial (Medicare Supplement)",no,no,no,enrollment,no,no,no,,medicare,,
J3760,"Country Financial \ Modern Service Casualty Insur Co - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1712,"Country Insurance Modern Service Casualty Insurance Co",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1572,"Country Insurance Mountain States Insurance",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1591,"Country Insurance MSI Preferred Insurance Company",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1702,"Country Mutual Insurance Company",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1705,"Country Preferred Insurance Company",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J4404,"Countryway Insurance Company - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J4493,"County Board of Arlington (VA)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J4570,"County of Alameda CA",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1525,"County of Chesterfield, VA",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J3346,"County Of Dupage - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1603,"County of Humboldt (CA)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1961,"County of Imperial (ATHENS)",yes,yes,no,no,no,yes,yes,no,workerscomp,,
J1935,"County of Kern",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1625,"County of Los Angeles (1000)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1967,"County of Los Angeles (3000)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1723,"County of Los Angeles AIMS Santa Clarita",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1722,"County of Los Angeles Tristar Santa Ana",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J4064,"County of Loudoun (VA) - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J2229,"County Of Monterey",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1847,"County of Riverside - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J2290,"County Of Sacramento",no,no,no,enrollment,no,yes,yes,no,workerscomp,,
J4634,"County of San Bernardino",no,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1513,"County of San Diego",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J4283,"County of San Mateo (ATHENS)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1631,"County of Santa Barbara (CA)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J2329,"County of Santa Barbara-CSAC (CA)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J4488,"County of Santa Clara",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1616,"County of Shasta (CA)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1662,"County of Sonoma (CA)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1666,"County of Tulare (CA)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J2204,"County Of Ventura",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
06541,CountyCare,yes,yes,no,enrollment,yes,no,no,yes,commercial,,Prime
J4454,"Coury Hospitality, LLC - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
58102,"Covenant Administrators, Inc. (Atlanta, GA)",yes,yes,no,enrollment,no,no,no,yes,commercial,,
95964,"COVID19 HRSA Uninsured Testing and Treatment Fund",yes,yes,no,no,no,no,no,yes,commercial,,
J1046,"Coworx Staffing, LLC",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
00019,"Cox Health Plan",yes,yes,no,enrollment,no,no,no,yes,commercial,,
CB695,"CPR SHARE PLANS",yes,yes,no,no,no,no,no,yes,commercial,,
J1455,"Creative Risk Solutions",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1965,"Crescent Crown Distributing",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J2170,"Crescent Facilities Operations, LLC",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
56213,"Crescent Health Solutions",yes,yes,no,no,no,no,no,yes,commercial,,
J4320,"Crimson Renewable Energy Holdings, LLC - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J2263,"Crosby ISD",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J4594,"Cross Country Healthcare  - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J4513,"Crown Equipment",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
37266,"CroyHall Mgmt Inc",yes,yes,no,no,no,no,no,no,commercial,,
31348,"Crum & Forster Indemnity Co",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J3728,"Crum (ATHENS)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J3819,CS&A,yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
C1090,"CSAA Insurance Company",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
ISA03,"CSI Life (Medicare Supplement)",no,no,no,enrollment,no,no,no,,medicare,,
34186,"CSI NETWORK SERVICES",yes,yes,no,no,no,no,no,yes,commercial,,
ISA04,"CSI of Omaha (Medicare Supplement)",no,no,no,enrollment,no,no,no,yes,medicare,,
J4490,"CSJV RMA",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J4595,"CSL Behring LLC  - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
ISA05,"CSO/Central States Life & Health (Medicare Supplement)",no,no,no,enrollment,no,no,no,,medicare,,
00060,"CT BCBS",yes,yes,no,enrollment,yes,yes,no,yes,bcbs,CT,Prime
SKCT0,"CT Medicaid",yes,yes,no,enrollment,yes,no,no,yes,medicaid,CT,Prime
13102,"CT Medicare Part B",no,enrollment,no,enrollment,enrollment,yes,no,yes,medicare,CT,Prime
59144,"Culinary Las Vegas - Unite HERE Health",yes,yes,no,enrollment,no,no,no,yes,commercial,,
C1091,"Cumberland Insurance Group",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
CC304,CURAECHOICE,yes,yes,no,enrollment,no,no,no,yes,commercial,,
CURTV,Curative,yes,yes,no,enrollment,yes,no,no,yes,commercial,,Prime
C1092,"Cure Auto Insurance For NJ Auto",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J4010,"CUSIG (Credit Union Self-Insured Group of California)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
AMM03,"Custody Medical Services Program",yes,yes,no,no,no,no,no,yes,commercial,,
82056,"Custom Design Benefits Inc",yes,yes,no,enrollment,no,no,no,yes,commercial,,
J4424,"Customized Distribution LLC DBA CDI - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J3973,"CVS Pharmacy (CAREMARK)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J4437,"Cypress Insurance Company (Member of BHHC)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1494,"Dallas Independent School District",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1051,"Danaher Corporation",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1936,Darigold,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
CB987,"Dart Member Care",yes,yes,no,enrollment,no,no,no,yes,commercial,,
J4203,"Dave & Buster's Entertainment, Inc. - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
00157,"Davis Vision",no,no,no,enrollment,no,no,no,yes,commercial,,
J3929,"Dawson ISD",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J3761,"DBi Services LLC - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
SB580,"DC BCBS",yes,yes,no,enrollment,yes,no,no,yes,bcbs,DC,Prime
DCMCD,"DC Medicaid",enrollment,enrollment,no,enrollment,yes,no,no,yes,medicaid,DC,"Non Prime"
12201,"DC Medicare Part A",enrollment,no,no,enrollment,no,yes,no,yes,medicare,DC,
12202,"DC Medicare Part B",no,enrollment,no,enrollment,enrollment,yes,no,yes,medicare,DC,Prime
DCRSS,"DC Risk Solutions",yes,yes,no,no,no,no,no,yes,commercial,,
38261,"DCHP - Texas Medicaid",yes,yes,no,enrollment,no,no,no,yes,commercial,TX,
J1058,"De Bartolos, Inc",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,DE,
00570,"DE BCBS Highmark",enrollment,enrollment,no,enrollment,yes,no,no,yes,bcbs,DE,Prime
DEMCD,"DE Medicaid",yes,yes,no,enrollment,yes,no,no,yes,medicaid,DE,"Non Prime"
DSCYF,"DE Medicaid -  Department of Services for Children, Youth & their Families",yes,yes,no,enrollment,no,no,no,,medicaid,DE,
12101,"DE Medicare Part A",enrollment,no,no,enrollment,no,yes,no,yes,medicare,,
12102,"DE Medicare Part B",no,enrollment,no,enrollment,enrollment,yes,no,yes,medicare,DE,Prime
39113,"Dean Health Plan",yes,yes,no,enrollment,yes,no,no,yes,commercial,,Prime
41822,"Dean Health Plan Individual and Family (IFB) plans",yes,yes,no,enrollment,yes,no,no,yes,commercial,,Prime
36213,"Dearborn National",no,no,no,enrollment,no,no,no,,commercial,,
DECNT,Decent,yes,yes,no,no,no,no,no,,,,
36491,"Deductible Guard",yes,yes,no,enrollment,no,no,no,yes,commercial,,
J2336,Definiti,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J3813,"Del Mar Thoroughbred Club",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1681,"Del Taco, LLC",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J3806,"Delaware Racing Association And Delaware Management Company, LLC",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1983,"Dell, Inc.",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
CDIAM,"Delta Dental of Iowa",no,no,yes,no,no,no,no,yes,,IA,
DHS01,"Delta Health Systems",yes,yes,no,enrollment,no,no,no,yes,commercial,,
63740,"DentaQuest Vision",no,yes,no,enrollment,no,no,no,yes,commercial,,
84133,"Denver Health and Hospital Authority",yes,yes,no,enrollment,no,no,no,yes,commercial,,
84135,"Denver Health Medical Plan",yes,yes,no,enrollment,yes,no,no,yes,commercial,,Prime
84131,"Denver Health Medical Plan Inc",yes,yes,no,enrollment,no,no,no,yes,commercial,,
77044,"Department of Labor",enrollment,enrollment,no,enrollment,no,yes,yes,,workerscomp,,
77104,"Department of Labor Black Lung",enrollment,enrollment,no,enrollment,no,yes,yes,,workerscomp,,
77103,"Department of Labor Energy Division",enrollment,enrollment,no,enrollment,no,yes,yes,,workerscomp,,
J1514,"Department of Water and Power of the City of Los Angeles (LADWP)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
SX105,"Deseret Mutual",enrollment,enrollment,no,enrollment,no,no,no,yes,commercial,,
DESRT,"Desert Medical Group",yes,yes,no,enrollment,no,no,no,yes,commercial,CA,
DVMC1,"Desert Valley Medical Group",yes,yes,no,no,no,no,no,,commercial,,
62599,"Detego Health",yes,yes,no,no,no,no,no,yes,commercial,,
DEVOT,"Devoted Health",yes,yes,no,enrollment,yes,no,no,yes,commercial,,Prime
82347,"DH COOK",yes,yes,no,enrollment,no,no,no,,,,
J2140,"Diamond Insurance Group, LTD",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J2298,"Dignity Health Chw",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
PROH1,"Dignity Health Medical Foundation",yes,yes,no,enrollment,no,no,no,yes,commercial,,
J4334,"Diocese of Rockville Center NY c/o Network Adjusters ",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J3934,"Diploma Joint Insurance Fund (SEL)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
DCA62,"Direct Care Administrators",yes,yes,no,enrollment,no,no,no,yes,,,
J4155,"Direct Pay Provider Network - Institutional",yes,no,no,no,no,yes,yes,,workerscomp,,
J4156,"Direct Pay Provider Network - Professional",no,yes,no,no,no,yes,yes,,workerscomp,,
J1059,"Directory Distributing Assoc.",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1611,"Discount Tire",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1060,"Discover Re (Burger King)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1933,"Disneyland Resorts (Bunch CareSolutions)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
06102,"Diversified Administration Corp",yes,yes,no,enrollment,no,no,no,yes,commercial,,
DBA20,"Diversified Benefit Admin ",yes,yes,no,no,no,no,no,,,,
J4089,"DMA Claims Services",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
16003,"DME Region A",no,enrollment,no,enrollment,enrollment,yes,no,yes,medicare,,Prime
17003,"DME Region B",no,enrollment,no,enrollment,enrollment,yes,no,yes,medicare,,Prime
18003,"DME Region C",no,enrollment,no,enrollment,enrollment,yes,no,yes,medicare,,Prime
19003,"DME Region D",no,enrollment,no,enrollment,enrollment,yes,no,yes,medicare,,Prime
Z1412,"DMEnsion Benefit Management",no,yes,no,enrollment,no,no,no,,commercial,,
A6864,"DOCTOR'S PROFESSIONAL SERVICES CONSULTANTS",no,yes,no,no,no,no,no,yes,commercial,,
DRHCP,"Doctors Healthcare Plans",yes,yes,no,enrollment,yes,no,no,yes,commercial,FL,Prime
J1012,"Dollar General",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
DOLMG,"Dolton Medical Group",no,no,no,enrollment,no,no,no,,commercial,,
DOM01,"Dominion National",no,no,no,enrollment,no,no,no,,commercial,,
J4348,"Donegal Mutual Insurance Company",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J4142,"Dream II Holdings, LLC - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J4329,"Dresser Utility Solutions LLC - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
74284,"DRISCOLL CHILDRENS HEALTH PLAN",yes,yes,no,enrollment,yes,no,no,yes,commercial,,Prime
J4391,"Driscoll's Inc. - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J4076,"DriveTime Automotive Group - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J4012,"Drybar Holdings - DOI 12/31/2021 and prior - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J4207,"Drybar Holdings-Guaranteed Cost",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J2273,"DSW Inc.",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J2212,"Duke University",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
35186,"Dunn and Associates Benefits Adm",yes,yes,no,enrollment,no,no,no,yes,commercial,,
J1061,"Dunn-Edwards Corporation",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1994,"Durham County, Nc",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J2252,"Duty Free Stores",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1062,"Dynamex, Inc.",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1934,"Eagle Claims",no,no,no,enrollment,no,yes,yes,no,workerscomp,,
J4637,"EagleCare, LLC - CORVEL",no,yes,no,enrollment,no,yes,yes,,workerscomp,,
EAP20,"EAP20 - Aetna Employee Assistance Program (EAP)",yes,yes,no,no,no,no,no,,commercial,,
36434,"Early Intervention Central",no,yes,no,enrollment,no,no,no,yes,commercial,,
25849,"East Boston Neighborhood Pace",yes,yes,no,enrollment,no,no,no,,commercial,,
J4663,"East Coast Risk Management",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
08044,"East Pointe Behavioral Health - DOS Before 2/1/24",enrollment,enrollment,no,enrollment,no,no,no,yes,medicaid,,
J4272,"Eastern Advantage Assurance Co",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J2143,"Eastern Alliance (EA)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1903,"Eastman Kodak Company",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
EAIPA,"Easy Access Care IPA",yes,yes,no,no,no,no,no,yes,commercial,,
ECMSO,"Easy Care MSO LLC",yes,yes,no,no,no,no,no,yes,commercial,CA,
J2199,"Eberle Vivian",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
31074,EBMC,yes,yes,no,enrollment,no,no,no,yes,commercial,,
81039,EBMS,yes,yes,no,enrollment,yes,no,no,yes,commercial,,Prime
58379,"ECHO Health Inc",no,no,no,enrollment,no,no,no,no,commercial,,
C1112,"ECMI Auto Insurance Company - EXCEPT NEW JERSEY",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1289,EDIC,no,no,no,enrollment,no,yes,yes,no,workerscomp,,
J4013,"EDIC BB Everest Denali Insurance Company # 205",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1204,"Edwards Claims Administration",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J4227,"Eighth Judicial District Court, County of Clark (NV) - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J2658,"Eisenhower Medical Center (ATHENS)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
ECL01,"El Camino Health Alliance",yes,yes,no,enrollment,no,no,no,yes,commercial,,
J4218,"El Camino Hospital - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J2362,"El Centro Regional Medical Center",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
A0106,"El Paso Community College (Tx Jur)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J3875,"El Paso Community College (TX Jur)  (ATHENS)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
EPF37,"EL PASO FIRST HEALTH PLAN HCO HEALTHCARE OPTIONS",yes,yes,no,enrollment,no,no,no,yes,medicaid,,
EPF03,"EL PASO FIRST HEALTH PLANS CHIP",yes,yes,no,enrollment,no,no,no,yes,commercial,,
EPF02,"EL PASO FIRST HEALTH PLANS PREMIER PLAN STAR MEDICAID HMO",yes,yes,no,enrollment,no,no,no,yes,,TX,
EPF07,"EL PASO HEALTH ADVANTAGE DUAL SNP (HMO D-SNP)",yes,yes,no,enrollment,no,no,no,,commercial,,
J3727,"El Paso ISD (ATHENS)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1017,"El Paso Water Util Tx Jur ",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1737,"El Pollo Loco",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
MPM04,"El Proyecto De Barrio",yes,yes,no,enrollment,no,no,no,,commercial,CA,
04326,"ELDER SERVICE PLAN OF THE NORTH SHORE",yes,yes,no,no,no,no,no,yes,commercial,,
64192,"Elderhaus Inc.",yes,yes,no,no,no,no,no,,commercial,,
31625,"ElderPlan Inc",yes,yes,no,enrollment,no,no,no,yes,commercial,,
03964,"Elderwood Health",yes,yes,no,no,no,no,no,,commercial,,
C1093,"Electric Insurance Company",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
30506,"Electric Welfare Trust Fund",yes,yes,no,no,no,no,no,no,commercial,,
J4380,"ELG Utica Alloys, Inc. - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
ISA21,"Elips Life Insurance (Medicare Supplement)",no,no,no,enrollment,no,no,no,,,,
J3723,"Elite Golf (ATHENS)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
EPG01,"Elite Physicians Group",yes,yes,no,no,no,no,no,,,,
37253,Elmco,yes,yes,no,enrollment,no,no,no,no,commercial,,
J1613,"Emanate Health",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
MPM62,"Emanate Health IPA",yes,yes,no,no,no,no,no,,commercial,,
J3347,"Embassy Of United Emirates",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
13551,"Emblem Health GHI New York Group Health Inc",yes,yes,no,enrollment,yes,no,no,yes,commercial,,Prime
J1118,"EMC Risk Services  (Except CA, NM, NV)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
C1029,"EMCASCO Insurance Co",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1433,"EMCASCO Insurance Co",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
21407,"EMCASCO Insurance Co - (Except CA, NM, NV)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
34167,"Emerald Health Network Inc All P",yes,yes,no,no,no,no,no,yes,commercial,,
J1679,"Emeritus Corporation",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
SX110,"EMI Health",yes,yes,no,enrollment,yes,no,no,yes,commercial,,Prime
59299,"EMIKP Ambulance Claims",no,yes,no,no,no,no,no,yes,commercial,,
J4521,"EMPIRE MERCHANTS, LLC",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
37257,"Employee Benefit Consultants",yes,yes,no,enrollment,no,no,no,yes,commercial,,
92135,"Employee Benefit Logistics",yes,yes,no,enrollment,no,no,no,yes,,,
37216,"Employee Benefit Services (Ft. Mill, SC)",yes,yes,no,enrollment,no,no,no,yes,commercial,,
60221,"Employee Benefit Services, Inc. (EBSI)",yes,yes,no,enrollment,no,no,no,yes,commercial,,
42149,"Employee Benefit Systems",yes,yes,no,enrollment,no,no,no,yes,commercial,,
22262,"Employee Benefits Administration",yes,yes,no,enrollment,no,no,no,yes,commercial,CA,
03036,"Employee Benefits Plan Administration, Inc.",yes,yes,no,enrollment,no,no,no,no,commercial,,
35112,"Employee Plans LLC",yes,yes,no,enrollment,no,no,no,yes,commercial,,
48888,"Employer Direct Healthcare",yes,yes,no,no,no,no,no,no,commercial,,
EDHP1,"Employer Driven Insurance Services",yes,yes,no,enrollment,no,no,no,no,commercial,,
J1864,"Employer Insurance Group (EIG) (RX ONLY)",no,no,no,enrollment,no,yes,yes,no,workerscomp,,
74212,"Employer Plan Services",yes,yes,no,enrollment,no,no,no,yes,commercial,,
75236,"Employer's Direct Health - (Employee Plan)",yes,yes,no,no,no,no,no,no,commercial,,
J4276,"Employers Assurance Company (Except ND, OH, WA, WY)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J3771,"Employers Choice (ECN)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J4277,"Employers Compensation Insurance Company(Except ND, OH, WA, WY)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
75232,"Employers Direct Health",yes,yes,no,no,no,no,no,yes,commercial,,
75235,"Employers Direct Health (Fully Insured)",yes,yes,no,no,no,no,no,no,commercial,,
75233,"Employers Direct Health (Self Funded)",yes,yes,no,no,no,no,no,no,commercial,,
J3726,"Employers Edge",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1696,"Employers General Insurance Group",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
IHS07,"EMPLOYERS HEALTH NETWORK",yes,yes,no,enrollment,no,no,no,yes,commercial,,
J1912,"Employers Insurance (Except ND, OH, WA, WY)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1232,"Employers Insurance Company of Nevada (Except ND, OH, WA, WY)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J4273,"Employers Insurance Company of Nevada(Except ND, OH, WA, WY)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
21415,"Employers Mutual Casualty -  (Except CA, NM, NV)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J4278,"Employers Preferred Insurance Company (Except ND, OH, WA, WY)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
12956,Empower,yes,yes,no,enrollment,yes,no,no,yes,medicaid,AR,Prime
L0244,"EnableComp Commercial",yes,yes,no,no,no,no,no,,,,
L0243,"EnableComp OOS Medicaid",yes,yes,no,no,no,no,no,,,,
L0241,EnableCompMVA,yes,yes,no,no,no,no,no,,,,
L0242,EnableCompVET,yes,yes,no,no,no,no,no,,,,
35206,"Encircle PPO",yes,yes,no,no,no,no,no,yes,commercial,,
C1049,Encompass,yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J2369,"Encompass Specialty Surgery Network",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J4321,"Encore Group (USA) LLC - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1761,"Encova Insurance (Formerly Brickstreet Insurance) (EXCEPT PA)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
